subject,condition,named,afc,whichItem,trial
2,3,1,1,60,14
2,4,1,1,43,15
2,1,1,1,123,16
2,1,1,0,74,17
2,4,1,1,131,18
2,4,1,1,20,19
2,2,1,1,187,20
2,1,1,0,167,21
2,2,1,1,72,22
2,3,1,1,153,23
2,3,1,1,162,24
2,3,1,1,8,25
2,2,1,1,89,26
2,1,1,1,126,27
2,4,1,1,174,28
2,3,1,1,159,29
2,4,1,1,71,30
2,2,1,1,2,31
2,1,1,1,58,32
2,3,1,1,155,33
2,4,1,1,23,34
2,4,1,1,176,35
2,2,1,1,139,36
2,2,1,1,110,37
2,3,1,1,124,38
2,1,1,0,73,39
2,1,1,1,146,40
2,2,1,1,102,41
2,4,1,1,154,42
2,3,1,1,100,43
2,2,1,1,14,44
2,1,1,1,147,45
2,4,1,1,53,46
2,3,1,1,141,47
2,1,1,1,68,48
2,4,1,1,122,49
2,3,1,1,33,50
2,1,1,0,170,51
2,2,1,1,81,52
2,4,1,1,34,53
2,2,1,1,179,54
2,3,1,1,125,55
2,1,1,1,30,56
2,3,1,1,157,57
2,4,1,1,32,58
2,2,1,1,177,59
2,3,0,1,111,60
2,4,1,1,4,61
2,1,1,0,172,62
2,1,1,1,69,63
2,2,1,1,96,64
2,3,1,1,165,65
2,1,1,0,95,66
2,1,1,0,79,67
2,2,1,1,137,68
2,4,1,1,90,69
2,2,1,1,119,70
2,4,1,1,161,71
2,3,1,1,184,72
2,3,1,1,45,73
2,4,1,1,57,74
2,2,1,1,7,75
2,1,1,0,59,76
2,4,1,1,163,77
2,1,1,1,66,78
2,3,1,1,181,79
2,2,1,1,28,80
2,4,1,1,183,81
2,2,1,1,18,82
2,1,1,1,56,83
2,3,1,1,50,84
2,2,1,1,150,85
2,4,1,1,85,86
2,1,1,0,151,87
2,3,1,1,145,88
2,2,1,1,156,89
2,4,1,1,25,90
2,4,1,1,185,91
2,1,1,1,99,92
2,1,1,1,97,93
2,3,1,1,80,94
2,3,1,1,15,95
2,2,1,1,39,96
2,1,1,0,52,97
2,2,1,1,166,98
2,3,1,1,11,99
2,1,1,0,113,100
2,3,1,1,121,101
2,2,1,1,107,102
2,4,1,1,188,103
2,4,1,1,118,104
2,2,1,1,129,105
2,4,1,1,186,106
2,2,1,1,64,107
2,3,1,1,61,108
2,1,1,0,26,109
2,1,1,0,76,110
2,3,1,1,103,111
2,4,1,1,115,112
2,2,1,1,144,113
2,4,1,1,143,114
2,1,1,0,133,115
2,1,1,1,135,116
2,4,1,1,47,117
2,3,1,1,37,118
2,2,1,1,3,119
2,3,1,1,40,120
2,2,1,1,6,121
2,3,1,1,88,122
2,4,1,1,31,123
2,3,1,1,112,124
2,1,1,0,117,125
2,4,1,1,128,126
2,1,1,0,192,127
2,2,1,1,140,128
3,3,1,1,1,1
3,1,1,1,44,2
3,2,1,1,86,3
3,4,1,1,191,4
3,4,1,1,78,5
3,1,1,1,13,6
3,2,1,1,62,7
3,3,1,1,19,8
3,1,1,0,43,9
3,4,1,1,60,10
3,2,1,1,123,11
3,3,1,1,104,12
3,1,1,1,16,13
3,4,1,1,98,14
3,2,1,1,29,15
3,3,1,1,189,16
3,3,1,1,187,17
3,2,1,1,167,18
3,4,1,1,162,19
3,4,1,1,153,20
3,1,1,1,131,21
3,3,1,1,72,22
3,2,1,1,74,23
3,1,1,0,20,24
3,4,1,1,159,25
3,3,1,1,89,26
3,1,1,0,71,27
3,1,1,0,174,28
3,3,1,1,2,29
3,2,1,1,126,30
3,2,1,1,58,31
3,4,1,1,8,32
3,4,1,1,155,33
3,1,1,1,23,34
3,2,1,1,73,35
3,1,1,0,176,36
3,4,1,1,124,37
3,2,1,1,146,38
3,3,1,1,110,39
3,3,1,1,139,40
3,1,1,0,53,41
3,3,1,1,102,42
3,4,1,1,141,43
3,4,1,1,100,44
3,2,1,1,147,45
3,3,1,1,14,46
3,1,1,0,154,47
3,2,1,1,68,48
3,4,1,1,33,49
3,4,1,1,125,50
3,3,1,1,179,51
3,1,1,1,122,52
3,1,1,1,34,53
3,2,1,1,170,54
3,2,1,1,30,55
3,3,1,1,81,56
3,3,1,1,96,57
3,4,1,1,157,58
3,2,1,1,172,59
3,3,1,1,177,60
3,4,0,1,111,61
3,2,1,1,69,62
3,1,1,1,4,63
3,1,1,0,32,64
3,1,1,0,161,65
3,3,1,1,119,66
3,2,1,1,79,67
3,1,1,0,90,68
3,3,1,1,137,69
3,4,1,1,184,70
3,4,1,1,165,71
3,2,1,1,95,72
3,1,1,0,57,73
3,1,1,0,163,74
3,4,1,1,45,75
3,2,1,1,66,76
3,2,1,1,59,77
3,3,1,1,7,78
3,3,1,1,28,79
3,4,1,1,181,80
3,1,1,1,183,81
3,4,1,1,50,82
3,3,1,1,150,83
3,3,1,1,18,84
3,1,1,0,85,85
3,2,1,1,151,86
3,4,1,1,145,87
3,2,1,1,56,88
3,3,1,1,156,89
3,3,1,1,39,90
3,2,1,1,99,91
3,4,1,1,15,92
3,1,1,1,25,93
3,1,1,0,185,94
3,2,1,1,97,95
3,4,1,1,80,96
3,4,1,1,11,97
3,3,1,1,166,98
3,1,1,1,118,99
3,2,1,1,113,100
3,4,1,1,121,101
3,1,1,0,188,102
3,3,1,1,107,103
3,2,1,1,52,104
3,4,1,1,61,105
3,1,1,0,115,106
3,2,1,1,76,107
3,3,1,1,64,108
3,2,1,1,26,109
3,1,1,0,186,110
3,4,1,1,103,111
3,3,1,1,129,112
3,4,1,1,40,113
3,4,1,1,37,114
3,3,1,1,3,115
3,1,1,1,47,116
3,1,1,0,143,117
3,2,1,1,135,118
3,2,1,1,133,119
3,3,1,1,144,120
3,2,1,1,117,121
3,1,1,0,128,122
3,3,1,1,6,123
3,4,1,1,112,124
3,3,1,1,140,125
3,1,1,1,31,126
3,4,1,1,88,127
3,2,1,1,192,128
