subject,condition,studyResp,studyResp2,studyResp3,named,afc,whichItem,trial
1,1,99999,99999,99999,1,1,90,140
1,2,3,3,NaN,1,1,142,141
1,4,3,3,3,1,1,68,142
1,2,3,NaN,3,0,0,67,143
1,1,99999,99999,99999,0,0,134,144
1,1,99999,99999,99999,1,1,97,145
1,3,0,1,0,1,1,112,146
1,1,99999,99999,99999,0,0,130,147
1,3,0,3,1,0,0,115,148
1,4,3,3,3,1,1,25,149
1,4,3,3,3,0,0,106,150
1,2,3,3,3,0,0,132,151
1,2,3,NaN,NaN,1,0,8,152
1,1,99999,99999,99999,0,0,160,153
1,3,0,0,0,0,0,118,154
1,4,3,3,3,0,0,105,155
1,4,3,3,3,0,1,85,156
1,2,3,3,3,0,0,120,157
1,3,1,0,0,1,1,37,158
1,1,99999,99999,99999,1,1,151,159
1,2,3,NaN,NaN,0,0,153,160
1,4,3,3,3,0,0,187,161
1,3,1,NaN,1,0,0,83,162
1,1,99999,99999,99999,0,0,152,163
1,1,99999,99999,99999,1,1,33,164
1,2,3,NaN,NaN,0,0,45,165
1,2,3,NaN,3,0,1,111,166
1,3,1,NaN,3,1,1,79,167
1,4,3,3,3,0,0,56,168
1,1,99999,99999,99999,1,1,157,169
1,3,1,3,1,0,1,22,170
1,3,1,0,1,1,1,59,171
1,4,3,3,3,1,1,99,172
1,1,99999,99999,99999,0,1,158,173
1,2,3,3,3,1,1,165,174
1,4,3,3,3,1,1,2,175
1,2,3,NaN,3,1,1,125,176
1,2,NaN,3,3,1,1,23,177
1,3,1,0,0,0,0,141,178
1,4,3,3,3,0,1,113,179
1,1,99999,99999,99999,1,1,179,180
1,1,99999,99999,99999,0,0,107,181
1,4,1,3,0,0,0,91,182
1,3,1,0,0,0,0,28,183
1,2,3,3,3,0,0,161,184
1,2,3,3,3,0,0,53,185
1,2,3,3,3,1,0,163,186
1,1,99999,99999,99999,0,1,64,187
1,4,3,3,3,0,1,76,188
1,1,99999,99999,99999,0,1,177,189
1,4,1,3,3,1,0,82,190
1,3,1,0,0,0,0,137,191
1,3,3,3,0,0,0,155,192
2,4,3,3,3,1,1,156,1
2,4,3,3,3,0,1,66,2
2,1,99999,99999,99999,1,0,148,3
2,1,99999,99999,99999,0,1,13,4
2,3,0,0,0,0,1,128,5
2,3,1,0,0,1,1,48,6
2,2,3,3,3,0,1,36,7
2,2,3,3,3,1,1,14,8
2,4,3,3,3,1,0,95,9
2,2,3,3,3,0,0,139,10
2,1,99999,99999,99999,1,1,16,11
2,1,99999,99999,99999,0,1,55,12
2,4,3,3,3,0,1,150,13
2,2,3,3,3,0,1,46,14
2,3,1,1,1,0,1,143,15
2,3,0,0,0,0,1,65,16
2,3,1,2,1,1,1,17,17
2,4,3,3,3,1,1,44,18
2,1,99999,99999,99999,1,1,186,19
2,2,3,3,3,0,1,103,20
2,1,99999,99999,99999,1,1,123,21
2,4,3,3,3,1,0,140,22
2,3,1,1,1,1,1,88,23
2,2,3,3,3,1,1,122,24
2,3,0,1,1,0,0,40,25
2,3,0,0,0,0,0,168,26
2,2,3,3,3,0,1,11,27
2,4,1,2,2,0,1,144,28
2,1,99999,99999,99999,1,1,188,29
2,2,3,3,3,1,1,32,30
2,4,3,3,3,0,0,43,31
2,1,99999,99999,99999,1,1,62,32
2,3,3,3,3,1,1,121,33
2,4,3,3,3,1,1,109,34
2,1,99999,99999,99999,0,1,3,35
2,2,3,3,3,0,1,171,36
2,2,3,3,3,1,1,96,37
2,1,99999,99999,99999,0,1,98,38
2,4,3,2,3,1,0,181,39
2,3,1,1,1,0,1,162,40
2,4,3,3,3,0,1,184,41
2,2,3,3,3,0,1,173,42
2,1,99999,99999,99999,0,0,6,43
2,1,99999,99999,99999,1,1,78,44
2,3,1,1,2,0,0,61,45
2,2,3,3,3,1,1,81,46
2,3,1,1,1,0,1,159,47
2,4,2,2,2,0,1,108,48
2,1,99999,99999,99999,0,1,126,49
2,4,3,3,3,1,1,12,50
2,3,3,1,1,0,1,178,51
2,2,3,3,3,0,1,71,52
2,3,0,0,1,1,1,31,53
2,1,99999,99999,99999,0,1,18,54
2,2,3,3,3,0,1,180,55
2,4,3,3,3,0,0,172,56
2,3,1,1,1,0,0,47,57
2,4,3,3,3,1,1,10,58
2,1,99999,99999,99999,0,1,39,59
2,2,3,3,3,1,1,20,60
2,1,99999,99999,99999,0,1,167,61
2,4,3,3,3,1,1,170,62
2,2,3,3,3,0,1,182,63
2,3,1,1,1,1,1,84,64
2,4,3,3,3,1,1,5,65
2,3,0,1,1,0,1,4,66
2,1,99999,99999,99999,0,1,94,67
2,4,3,3,3,1,0,119,68
2,2,3,3,3,0,1,117,69
2,1,99999,99999,99999,1,1,30,70
2,2,3,3,3,0,1,136,71
2,3,1,1,1,0,1,70,72
2,4,3,3,3,1,1,49,73
2,1,99999,99999,99999,1,1,69,74
2,3,0,1,1,0,1,34,75
2,2,3,3,3,0,1,135,76
2,1,99999,99999,99999,1,1,92,77
2,3,1,1,3,0,0,87,78
2,2,3,3,3,0,1,116,79
2,4,3,3,3,1,1,7,80
2,2,3,3,3,1,1,154,81
2,4,3,3,3,0,1,166,82
2,2,3,3,3,1,1,15,83
2,1,99999,99999,99999,0,0,169,84
2,1,99999,99999,99999,1,1,77,85
2,4,3,3,3,0,0,124,86
2,3,0,0,0,0,1,52,87
2,3,1,1,1,1,1,29,88
2,1,99999,99999,99999,0,0,21,89
2,1,99999,99999,99999,1,1,63,90
2,2,3,3,3,0,1,176,91
2,4,3,3,3,1,0,129,92
2,2,3,3,3,0,0,145,93
2,3,2,3,2,0,0,86,94
2,4,3,3,3,0,0,100,95
2,3,1,2,1,0,1,26,96
2,1,99999,99999,99999,1,1,54,97
2,3,2,3,1,0,1,24,98
2,2,3,3,3,1,1,101,99
2,1,99999,99999,99999,0,0,80,100
2,3,0,1,0,1,1,127,101
2,4,3,3,3,1,0,35,102
2,4,3,3,3,0,1,72,103
2,2,3,3,3,0,1,131,104
2,3,0,0,0,1,1,138,105
2,2,3,3,3,1,1,75,106
2,1,99999,99999,99999,1,1,164,107
2,3,1,1,1,1,1,27,108
2,4,3,3,3,0,1,38,109
2,1,99999,99999,99999,1,1,50,110
2,4,3,3,3,1,1,89,111
2,2,3,3,3,0,1,174,112
2,4,3,3,3,1,1,42,113
2,1,99999,99999,99999,1,1,192,114
2,3,1,2,2,0,1,185,115
2,2,3,3,3,0,1,190,116
2,4,3,3,3,1,1,114,117
2,1,99999,99999,99999,0,0,110,118
2,2,3,3,3,1,1,189,119
2,3,2,3,2,1,1,74,120
2,3,1,3,3,0,1,58,121
2,1,99999,99999,99999,1,1,133,122
2,2,3,3,3,0,0,93,123
2,3,1,3,3,0,0,183,124
2,4,3,3,3,0,1,51,125
2,2,3,3,3,0,1,19,126
2,4,2,2,3,0,1,41,127
2,1,99999,99999,99999,0,1,102,128
2,2,3,3,3,0,1,73,129
2,1,99999,99999,99999,1,1,104,130
2,3,0,1,1,0,1,149,131
2,2,3,3,3,1,1,147,132
2,4,3,3,3,0,0,9,133
2,1,99999,99999,99999,1,1,60,134
2,4,2,2,3,1,1,175,135
2,3,0,0,1,1,1,57,136
2,4,3,3,3,1,1,142,137
2,2,3,3,3,0,1,68,138
2,2,3,3,3,0,0,146,139
2,1,99999,99999,99999,0,1,1,140
2,3,1,2,2,1,1,90,141
2,4,3,3,3,1,1,67,142
2,3,1,1,1,0,1,134,143
2,1,99999,99999,99999,0,1,191,144
2,4,3,3,3,0,0,132,145
2,2,3,3,3,1,1,25,146
2,2,3,3,3,0,1,106,147
2,3,0,0,1,0,1,130,148
2,3,2,2,2,1,1,97,149
2,1,99999,99999,99999,1,1,112,150
2,4,3,3,3,1,1,8,151
2,1,99999,99999,99999,0,1,115,152
2,3,0,0,1,0,1,160,153
2,4,2,3,3,0,1,153,154
2,3,1,2,2,1,1,151,155
2,2,3,3,3,0,1,105,156
2,1,99999,99999,99999,1,1,37,157
2,2,3,3,3,0,1,85,158
2,1,99999,99999,99999,0,1,118,159
2,4,3,3,3,0,0,120,160
2,1,99999,99999,99999,1,1,79,161
2,2,3,3,3,0,0,187,162
2,3,0,0,0,0,1,33,163
2,4,2,2,2,0,1,45,164
2,1,99999,99999,99999,0,1,83,165
2,2,3,3,3,0,1,56,166
2,4,2,2,2,0,1,111,167
2,3,0,2,1,0,0,152,168
2,2,3,3,3,1,1,99,169
2,1,99999,99999,99999,1,1,22,170
2,2,3,3,3,1,1,2,171
2,3,0,0,0,0,1,158,172
2,1,99999,99999,99999,0,0,59,173
2,4,2,3,3,1,1,125,174
2,4,3,3,3,1,1,165,175
2,3,0,0,2,1,1,157,176
2,4,3,3,3,1,1,161,177
2,3,2,3,2,0,1,107,178
2,2,3,3,3,0,1,113,179
2,2,3,3,3,0,0,91,180
2,4,3,3,2,1,1,23,181
2,3,3,3,3,0,0,179,182
2,1,99999,99999,99999,1,1,28,183
2,1,99999,99999,99999,0,0,141,184
2,4,3,3,3,1,1,163,185
2,4,2,2,2,0,1,53,186
2,2,3,3,3,0,0,76,187
2,1,99999,99999,99999,0,1,137,188
2,3,1,1,0,0,1,177,189
2,1,99999,99999,99999,0,0,155,190
2,2,2,3,3,0,1,82,191
2,3,3,3,3,0,1,64,192
3,1,99999,99999,99999,1,1,65,1
3,4,2,2,NaN,1,1,46,2
3,3,2,1,2,1,1,16,3
3,4,2,3,3,0,0,139,4
3,2,NaN,3,3,0,1,150,5
3,2,NaN,NaN,3,1,0,95,6
3,1,99999,99999,99999,1,1,143,7
3,3,1,1,3,0,1,55,8
3,3,1,2,3,1,1,13,9
3,1,99999,99999,99999,0,0,128,10
3,2,NaN,NaN,NaN,0,1,66,11
3,2,3,NaN,3,1,1,156,12
3,3,3,3,2,1,0,148,13
3,4,3,1,3,0,0,36,14
3,4,3,3,3,1,1,14,15
3,1,99999,99999,99999,1,0,48,16
3,1,99999,99999,99999,0,0,168,17
3,1,99999,99999,99999,0,0,40,18
3,4,1,3,NaN,0,1,11,19
3,4,3,NaN,NaN,1,1,32,20
3,2,3,3,3,1,1,144,21
3,3,3,NaN,NaN,0,1,62,22
3,3,1,3,2,0,0,188,23
3,2,NaN,NaN,NaN,0,1,43,24
3,4,0,3,NaN,0,1,103,25
3,1,99999,99999,99999,0,0,17,26
3,3,3,2,3,0,1,186,27
3,2,3,3,3,1,1,44,28
3,3,1,1,NaN,1,1,123,29
3,1,99999,99999,99999,0,1,88,30
3,2,3,3,3,1,1,140,31
3,4,2,3,1,1,1,122,32
3,4,2,NaN,2,1,1,81,33
3,1,99999,99999,99999,0,1,159,34
3,2,3,3,3,0,1,184,35
3,2,3,3,3,0,0,108,36
3,4,3,3,3,0,0,173,37
3,3,1,1,NaN,0,1,6,38
3,3,1,3,2,1,1,78,39
3,1,99999,99999,99999,0,0,61,40
3,3,2,3,2,1,1,98,41
3,4,1,2,NaN,0,0,171,42
3,3,2,3,2,0,0,3,43
3,1,99999,99999,99999,1,1,121,44
3,4,3,3,3,0,1,96,45
3,1,99999,99999,99999,0,0,162,46
3,2,1,NaN,NaN,0,1,181,47
3,2,3,3,3,0,1,109,48
3,3,1,2,3,1,1,39,49
3,2,NaN,NaN,NaN,1,1,10,50
3,1,99999,99999,99999,0,0,47,51
3,4,2,3,3,1,1,182,52
3,3,2,3,2,0,0,167,53
3,1,99999,99999,99999,1,1,84,54
3,2,3,3,3,1,1,170,55
3,4,3,3,3,1,1,20,56
3,4,2,3,3,0,0,180,57
3,2,3,NaN,3,0,0,172,58
3,3,1,NaN,1,0,1,126,59
3,4,3,3,3,0,0,71,60
3,1,99999,99999,99999,1,1,31,61
3,3,1,2,0,0,1,18,62
3,1,99999,99999,99999,0,1,178,63
3,2,3,3,3,1,1,12,64
3,4,3,3,3,0,1,116,65
3,1,99999,99999,99999,0,0,87,66
3,2,3,3,3,1,1,7,67
3,3,1,3,0,1,1,69,68
3,3,0,NaN,0,1,1,92,69
3,1,99999,99999,99999,1,1,34,70
3,4,3,3,2,0,1,135,71
3,2,3,3,NaN,1,1,49,72
3,2,3,NaN,3,0,1,119,73
3,4,3,3,3,0,1,136,74
3,4,3,2,3,0,0,117,75
3,1,99999,99999,99999,0,0,4,76
3,3,1,0,0,0,1,94,77
3,1,99999,99999,99999,0,0,70,78
3,2,3,3,1,1,1,5,79
3,3,0,3,1,1,1,30,80
3,1,99999,99999,99999,0,1,86,81
3,4,3,3,2,0,1,145,82
3,3,2,1,NaN,0,0,21,83
3,2,3,3,3,1,1,100,84
3,1,99999,99999,99999,0,0,26,85
3,4,3,2,3,1,1,176,86
3,3,0,2,NaN,0,1,63,87
3,2,NaN,3,3,0,1,129,88
3,1,99999,99999,99999,1,1,29,89
3,3,0,NaN,1,1,1,77,90
3,3,0,2,1,0,1,169,91
3,4,3,3,NaN,1,1,15,92
3,2,3,NaN,NaN,0,1,166,93
3,4,1,NaN,2,0,1,154,94
3,1,99999,99999,99999,1,1,52,95
3,2,NaN,3,NaN,1,1,124,96
3,3,NaN,2,2,0,1,50,97
3,3,NaN,2,2,1,1,164,98
3,1,99999,99999,99999,1,1,138,99
3,1,99999,99999,99999,0,1,27,100
3,4,NaN,2,2,0,1,174,101
3,2,1,3,2,1,1,89,102
3,2,NaN,3,2,1,1,38,103
3,4,3,1,2,1,1,75,104
3,4,1,2,2,1,1,101,105
3,1,99999,99999,99999,1,1,127,106
3,2,NaN,3,NaN,0,1,35,107
3,1,99999,99999,99999,0,1,24,108
3,4,3,3,2,1,1,131,109
3,3,1,1,3,0,1,80,110
3,3,1,2,NaN,1,1,54,111
3,2,NaN,3,NaN,0,1,72,112
3,1,99999,99999,99999,0,0,183,113
3,4,2,2,2,0,1,93,114
3,3,1,0,0,1,1,133,115
3,3,NaN,1,1,0,1,102,116
3,2,3,NaN,NaN,0,1,41,117
3,1,99999,99999,99999,0,0,58,118
3,2,3,2,2,0,0,51,119
3,4,2,2,2,0,1,19,120
3,1,99999,99999,99999,1,1,74,121
3,2,NaN,3,1,0,0,42,122
3,3,3,2,1,1,1,192,123
3,4,3,2,2,1,1,189,124
3,3,1,1,1,0,0,110,125
3,1,99999,99999,99999,0,0,185,126
3,2,NaN,3,3,1,1,114,127
3,4,3,3,3,1,1,190,128
3,1,99999,99999,99999,0,1,90,129
3,2,3,3,NaN,0,1,67,130
3,1,99999,99999,99999,0,0,134,131
3,4,2,NaN,NaN,1,1,146,132
3,3,3,3,3,0,1,1,133
3,2,2,NaN,NaN,1,1,142,134
3,3,2,3,NaN,1,1,191,135
3,4,2,2,NaN,1,1,68,136
3,2,3,3,3,1,1,175,137
3,2,3,3,NaN,0,0,9,138
3,3,3,1,NaN,0,1,60,139
3,3,2,3,NaN,0,0,104,140
3,1,99999,99999,99999,1,1,57,141
3,4,3,3,NaN,0,1,147,142
3,1,99999,99999,99999,0,1,149,143
3,4,NaN,3,3,0,1,73,144
3,3,NaN,3,3,0,1,118,145
3,2,NaN,3,NaN,0,0,153,146
3,2,3,3,3,0,0,120,147
3,4,2,3,3,0,1,85,148
3,3,1,0,3,1,1,37,149
3,4,NaN,NaN,3,1,1,105,150
3,1,99999,99999,99999,0,0,151,151
3,1,99999,99999,99999,0,1,160,152
3,2,NaN,NaN,3,1,1,8,153
3,3,NaN,1,NaN,0,1,115,154
3,4,NaN,3,3,1,1,25,155
3,4,NaN,NaN,3,0,1,106,156
3,3,2,1,3,1,1,112,157
3,1,99999,99999,99999,0,1,130,158
3,1,99999,99999,99999,1,1,97,159
3,2,3,3,NaN,0,1,132,160
3,2,3,3,NaN,1,1,125,161
3,1,99999,99999,99999,1,1,157,162
3,3,NaN,3,NaN,0,1,22,163
3,4,3,2,NaN,0,0,2,164
3,1,99999,99999,99999,0,1,158,165
3,4,NaN,NaN,3,0,1,99,166
3,2,3,3,3,0,1,165,167
3,3,NaN,2,1,1,1,59,168
3,2,NaN,3,3,0,1,45,169
3,2,NaN,NaN,3,0,0,111,170
3,4,1,1,NaN,0,0,187,171
3,4,NaN,2,2,0,1,56,172
3,3,0,1,0,0,0,83,173
3,1,99999,99999,99999,0,1,152,174
3,1,99999,99999,99999,0,0,33,175
3,3,2,1,NaN,1,1,79,176
3,1,99999,99999,99999,0,1,64,177
3,2,3,2,3,0,0,53,178
3,4,3,2,1,0,0,82,179
3,3,NaN,NaN,NaN,0,0,137,180
3,1,99999,99999,99999,0,0,177,181
3,2,NaN,2,3,1,1,163,182
3,3,2,1,1,0,0,155,183
3,4,NaN,2,NaN,0,0,76,184
3,1,99999,99999,99999,0,1,107,185
3,3,NaN,1,1,1,1,28,186
3,2,NaN,2,3,0,1,161,187
3,1,99999,99999,99999,0,1,179,188
3,3,2,3,2,0,1,141,189
3,2,2,2,3,1,1,23,190
3,4,2,1,0,0,1,91,191
3,4,3,2,2,0,0,113,192
4,2,3,3,3,1,0,143,1
4,4,3,3,3,1,0,55,2
4,1,99999,99999,99999,0,0,46,3
4,1,99999,99999,99999,0,0,139,4
4,2,3,3,3,1,0,65,5
4,4,3,3,3,1,0,16,6
4,3,3,3,3,0,0,150,7
4,3,2,2,2,0,0,95,8
4,3,1,2,1,0,1,66,9
4,1,99999,99999,99999,0,0,14,10
4,4,3,3,3,0,0,13,11
4,1,99999,99999,99999,1,0,36,12
4,4,3,3,3,1,0,148,13
4,2,3,3,3,0,1,128,14
4,2,3,3,3,1,0,48,15
4,3,2,2,2,1,0,156,16
4,2,3,3,3,0,0,40,17
4,3,2,2,2,0,0,144,18
4,1,99999,99999,99999,0,0,11,19
4,4,3,3,3,1,0,188,20
4,3,2,2,2,0,0,43,21
4,4,3,3,3,1,0,62,22
4,1,99999,99999,99999,1,0,32,23
4,2,3,3,3,0,0,168,24
4,4,2,2,2,1,0,186,25
4,1,99999,99999,99999,0,0,103,26
4,4,3,3,3,1,0,123,27
4,3,3,3,3,1,0,140,28
4,2,3,3,3,1,0,88,29
4,3,2,2,2,1,0,44,30
4,1,99999,99999,99999,1,0,122,31
4,2,3,3,3,1,0,17,32
4,1,99999,99999,99999,1,0,81,33
4,2,3,3,3,0,0,61,34
4,2,3,3,3,0,0,159,35
4,3,0,0,0,0,0,108,36
4,3,2,2,2,0,0,184,37
4,1,99999,99999,99999,0,0,173,38
4,4,3,3,3,1,0,78,39
4,4,2,2,2,0,0,6,40
4,4,3,3,3,0,0,3,41
4,2,3,3,3,0,0,162,42
4,3,1,2,1,1,0,109,43
4,3,2,2,2,0,0,181,44
4,1,99999,99999,99999,0,0,171,45
4,4,3,3,3,1,0,98,46
4,1,99999,99999,99999,1,0,96,47
4,2,3,3,3,1,0,121,48
4,3,3,3,3,0,0,170,49
4,1,99999,99999,99999,0,0,182,50
4,2,3,3,NaN,1,0,84,51
4,1,99999,99999,99999,0,0,20,52
4,2,3,3,3,0,1,47,53
4,4,3,NaN,3,1,0,39,54
4,3,2,2,3,0,0,10,55
4,4,3,3,3,0,1,167,56
4,4,3,3,3,1,0,18,57
4,2,3,NaN,3,0,0,31,58
4,2,3,3,3,0,0,178,59
4,4,2,2,2,1,0,126,60
4,3,2,2,2,0,1,172,61
4,1,99999,99999,99999,0,0,71,62
4,3,3,3,3,1,0,12,63
4,1,99999,99999,99999,0,0,180,64
4,3,3,3,3,1,0,49,65
4,3,2,3,2,0,1,7,66
4,4,3,3,3,1,0,92,67
4,1,99999,99999,99999,0,0,116,68
4,4,3,3,3,1,0,69,69
4,1,99999,99999,99999,0,0,135,70
4,2,3,3,3,0,1,87,71
4,2,3,3,3,0,0,34,72
4,1,99999,99999,99999,0,0,117,73
4,1,99999,99999,99999,0,0,136,74
4,3,2,2,2,0,0,119,75
4,4,3,3,3,1,0,94,76
4,2,3,NaN,3,0,0,70,77
4,3,3,3,3,1,0,5,78
4,2,3,3,NaN,1,0,4,79
4,4,2,2,2,1,0,30,80
4,1,99999,99999,99999,0,0,176,81
4,2,3,3,3,1,0,26,82
4,4,2,2,2,0,0,63,83
4,3,2,2,2,1,0,129,84
4,4,3,3,2,0,0,21,85
4,3,3,3,3,0,0,100,86
4,1,99999,99999,99999,0,1,145,87
4,2,3,2,3,0,0,86,88
4,4,2,3,3,0,0,169,89
4,3,2,2,3,1,0,124,90
4,4,3,3,3,1,0,77,91
4,2,3,3,NaN,0,0,52,92
4,2,3,2,3,1,0,29,93
4,3,3,3,2,0,0,166,94
4,1,99999,99999,99999,0,1,15,95
4,1,99999,99999,99999,0,0,154,96
4,1,99999,99999,99999,0,1,75,97
4,4,2,3,3,1,0,164,98
4,1,99999,99999,99999,0,0,174,99
4,3,3,3,3,1,0,38,100
4,4,2,2,3,1,0,50,101
4,2,NaN,3,NaN,0,0,27,102
4,3,2,2,2,1,0,89,103
4,2,3,NaN,3,1,0,138,104
4,2,3,NaN,3,0,0,24,105
4,3,NaN,2,3,0,0,72,106
4,3,NaN,NaN,3,1,0,35,107
4,4,2,3,3,0,0,54,108
4,2,3,NaN,NaN,0,0,127,109
4,1,99999,99999,99999,1,0,101,110
4,1,99999,99999,99999,1,0,131,111
4,4,NaN,2,3,1,0,80,112
4,2,3,NaN,3,1,0,58,113
4,1,99999,99999,99999,0,0,93,114
4,4,3,NaN,3,1,0,133,115
4,1,99999,99999,99999,0,0,19,116
4,4,2,3,3,1,1,102,117
4,3,3,2,2,0,0,51,118
4,3,2,3,3,0,1,41,119
4,2,3,3,3,0,0,183,120
4,4,3,NaN,3,1,0,192,121
4,4,3,3,3,0,0,110,122
4,2,3,NaN,3,0,0,185,123
4,1,99999,99999,99999,0,0,190,124
4,3,3,1,2,0,0,42,125
4,2,NaN,NaN,3,1,0,74,126
4,1,99999,99999,99999,0,0,189,127
4,3,NaN,2,2,1,0,114,128
4,3,2,2,3,0,1,142,129
4,4,3,3,NaN,0,0,1,130
4,2,3,3,NaN,0,1,134,131
4,4,3,3,2,1,0,191,132
4,2,3,NaN,3,0,0,90,133
4,1,99999,99999,99999,0,0,68,134
4,3,2,2,NaN,0,0,67,135
4,1,99999,99999,99999,0,1,146,136
4,1,99999,99999,99999,0,1,73,137
4,3,2,2,2,0,0,175,138
4,3,2,2,3,0,0,9,139
4,2,NaN,3,3,0,0,149,140
4,4,3,3,2,1,0,104,141
4,1,99999,99999,99999,0,0,147,142
4,4,3,3,2,1,0,60,143
4,2,NaN,3,3,0,0,57,144
4,1,99999,99999,99999,0,1,85,145
4,2,3,3,NaN,0,0,160,146
4,2,3,3,3,1,0,151,147
4,3,2,2,2,0,0,120,148
4,3,2,2,2,0,0,153,149
4,4,2,3,3,1,0,37,150
4,4,2,2,3,0,0,118,151
