subject,condition,studyResp,studyResp2,whichItem
2,2,0,8,139
2,4,1,1,187
2,3,2,1,76
2,1,0,0,141
2,1,4,0,7
2,1,0,0,119
2,3,2,3,113
2,2,8,8,50
2,3,2,7,4
2,2,1,8,14
2,4,1,1,128
2,3,2,2,156
2,2,1,1,32
2,3,2,2,88
2,1,0,0,98
2,1,0,0,11
2,4,1,1,143
2,1,0,0,78
2,3,2,7,150
2,4,1,1,71
2,2,1,1,44
2,3,0,2,40
2,2,1,8,122
2,2,1,8,43
2,1,0,0,103
2,4,1,1,20
2,1,4,0,123
2,1,4,0,1
2,3,7,2,16
2,3,2,2,13
2,4,1,1,45
2,3,1,7,72
2,2,1,8,131
2,1,0,0,104
2,4,1,1,176
2,2,1,8,59
2,4,1,1,154
2,2,1,8,79
2,1,0,0,62
2,3,8,2,89
2,2,1,8,174
2,4,1,1,165
2,2,1,1,15
2,4,1,1,58
2,4,1,1,117
2,1,0,0,172
2,2,8,1,186
2,2,1,1,188
2,1,4,4,60
2,1,0,4,170
2,3,2,1,53
2,2,1,8,145
2,1,0,1,191
2,3,7,1,57
2,3,7,3,23
2,4,8,1,135
2,4,1,1,74
2,3,2,6,90
2,4,1,1,140
2,3,2,7,39
2,3,6,3,18
2,1,0,0,96
2,4,8,1,33
2,1,4,4,97
2,2,1,8,68
2,2,1,1,8
2,1,0,0,151
2,2,8,1,153
2,1,0,0,81
2,2,8,1,73
2,4,1,1,144
2,4,8,1,157
2,3,2,2,159
2,3,8,2,162
3,3,8,8,161
3,2,8,8,107
3,3,8,1,100
3,3,1,8,124
3,1,0,0,184
3,4,8,8,6
3,1,0,0,115
3,2,1,7,179
3,1,0,0,181
3,4,1,1,3
3,4,1,1,86
3,4,8,8,29
3,1,0,0,118
3,3,8,1,163
3,2,7,1,177
3,2,8,8,64
3,1,0,0,189
3,3,2,1,28
3,2,8,8,110
3,2,1,1,129
3,4,8,8,85
3,4,1,8,25
3,3,8,8,183
3,4,1,1,37
3,3,1,0,137
3,1,1,0,111
3,4,1,1,112
3,1,1,0,19
3,1,0,0,125
3,3,8,1,185
3,2,2,1,102
3,2,8,8,166
3,2,7,1,30
3,3,1,1,133
3,4,8,8,121
3,4,8,8,146
3,3,8,1,192
3,4,1,8,61
3,2,1,8,69
3,2,7,8,66
3,1,0,0,31
3,4,1,8,147
3,1,0,0,26
3,1,0,0,52
3,3,1,8,126
3,2,2,1,95
3,3,2,1,167
3,1,0,0,47
3,3,1,8,50
3,3,8,1,139
3,4,1,8,34
3,4,8,1,4
3,2,1,8,155
3,4,1,8,113
3,3,8,1,14
3,3,1,8,80
3,1,0,0,2
3,4,1,8,76
3,2,1,1,7
3,1,0,0,56
3,1,0,0,187
3,2,7,8,141
3,1,0,0,99
3,2,1,1,119
3,1,0,0,143
3,2,2,8,103
3,2,8,8,98
3,4,8,8,88
3,3,8,8,43
3,4,1,8,40
3,3,8,2,122
3,1,0,0,128
3,3,8,8,44
3,4,1,2,150
3,1,0,0,20
3,1,0,0,71
3,3,1,1,32
3,2,8,8,78
3,2,8,1,11
3,4,1,1,156
3,2,1,8,123
3,3,1,1,174
3,2,8,8,104
3,3,8,8,79
3,3,8,8,59
3,1,0,0,45
3,4,8,1,16
3,4,8,1,89
3,3,1,8,131
3,2,1,8,1
3,1,0,0,154
3,2,1,1,62
3,1,0,0,176
3,4,1,8,72
3,4,8,1,13
3,1,0,0,165
3,1,0,0,74
3,4,1,1,57
3,2,1,1,191
3,2,1,8,170
3,1,0,0,58
3,3,8,1,145
3,1,0,0,135
3,1,0,0,117
3,3,1,8,188
3,4,1,8,53
3,4,8,1,90
3,4,1,1,23
3,3,1,1,186
3,2,8,1,60
3,3,8,6,15
3,2,1,8,172
3,4,8,1,162
3,1,0,0,140
3,4,1,8,159
3,4,1,8,18
3,4,8,8,39
3,3,8,8,73
3,2,8,8,151
3,2,1,8,96
3,2,1,1,81
3,3,8,8,8
3,1,0,0,33
3,1,0,0,144
3,3,1,8,68
3,1,0,0,157
3,3,8,6,153
3,2,1,8,97
4,2,8,7,29
4,4,8,1,179
4,4,8,1,107
4,1,8,0,161
4,2,8,6,3
4,2,8,4,6
4,4,8,1,64
4,1,0,0,124
4,1,0,0,100
4,3,1,7,118
4,3,8,1,184
4,4,1,8,177
4,3,1,7,115
4,3,1,8,181
4,1,4,4,163
4,2,8,4,86
4,2,1,8,112
4,1,4,0,183
4,3,1,1,189
4,3,1,7,19
4,4,8,1,166
4,1,0,0,28
4,4,8,1,129
4,2,1,1,85
4,1,0,4,185
4,3,8,8,125
4,1,0,0,137
4,4,1,1,110
4,2,1,3,37
4,2,8,1,25
4,3,2,4,111
4,4,8,1,102
4,4,8,8,69
4,3,8,6,52
4,1,0,4,133
4,2,1,8,146
4,1,0,0,126
4,2,1,1,61
4,3,8,1,31
4,4,1,7,30
4,2,8,1,121
4,1,0,0,167
4,2,8,8,147
4,4,0,8,95
4,4,8,8,66
4,1,0,0,192
4,3,8,7,47
4,3,1,1,26
4,4,1,0,7
4,2,7,1,34
4,4,1,1,119
4,2,8,1,4
4,3,1,8,2
4,3,8,1,56
4,3,1,1,99
4,1,0,4,50
4,4,8,1,141
4,2,1,1,113
4,1,0,4,80
4,3,1,3,187
4,1,4,4,139
4,4,8,6,155
4,2,8,8,76
4,1,0,0,14
4,1,4,0,32
4,2,8,1,88
4,4,8,8,98
4,1,4,4,44
4,4,8,1,103
4,1,0,0,122
4,1,0,0,43
4,3,5,8,20
4,3,8,2,71
4,4,8,8,78
4,4,0,8,11
4,2,1,1,156
4,2,8,8,150
4,3,6,1,143
4,2,0,1,40
4,3,8,1,128
4,4,8,1,1
4,2,8,1,16
4,1,4,1,59
4,2,1,1,13
4,3,2,8,165
4,1,0,0,131
4,3,1,8,154
4,1,0,0,174
4,3,1,6,176
4,3,7,1,45
4,2,8,1,72
4,2,0,8,89
4,4,1,1,123
4,4,8,8,104
4,4,1,8,62
4,1,0,0,79
4,4,8,8,170
4,1,0,1,145
4,3,8,6,58
4,4,1,8,60
4,4,1,1,172
4,2,1,1,23
4,3,8,1,74
4,4,8,8,191
4,3,6,7,135
4,3,0,1,117
4,1,0,0,188
4,2,1,8,90
4,2,1,1,53
4,1,0,0,15
4,1,0,0,186
4,2,1,1,57
4,4,1,1,151
4,4,8,1,97
4,1,0,4,8
4,3,1,7,157
4,3,4,3,144
4,2,1,1,39
4,4,1,1,81
4,2,1,1,159
4,2,8,1,18
4,1,0,4,73
4,1,0,4,68
4,3,8,1,140
4,1,4,0,153
4,2,8,0,162
4,4,1,1,96
4,3,8,1,33
5,4,1,1,181
5,4,8,8,115
5,2,1,8,124
5,1,0,0,64
5,1,0,0,107
5,4,8,1,118
5,3,1,1,3
5,3,8,1,86
5,1,0,0,177
5,2,1,8,161
5,1,0,4,179
5,3,8,1,29
5,2,1,8,163
5,2,8,1,100
5,3,7,2,6
5,4,8,1,184
5,2,8,1,137
5,3,8,8,25
5,1,0,0,129
5,4,1,1,111
5,4,8,1,19
5,4,8,1,189
5,1,0,0,102
5,3,8,8,85
5,1,0,0,110
5,1,0,4,166
5,4,8,1,125
5,2,1,8,28
5,2,1,8,185
5,2,1,1,183
5,3,8,2,112
5,3,3,1,37
5,1,0,0,66
5,4,1,1,52
5,3,1,1,61
5,1,0,0,69
5,4,1,1,26
5,3,7,1,146
5,1,0,4,95
5,1,4,0,30
5,3,8,2,147
5,2,1,1,167
5,2,1,8,133
5,3,1,2,121
5,4,1,1,47
5,2,1,1,192
5,2,1,1,126
5,4,1,8,31
5,3,1,1,76
5,2,1,8,50
5,4,1,8,2
5,1,0,4,119
5,3,1,1,34
5,2,8,8,80
5,4,1,8,187
5,3,1,1,4
5,2,1,8,14
5,4,1,1,56
5,1,4,0,7
5,2,4,8,139
5,1,0,0,155
5,3,1,1,113
5,4,1,8,99
5,1,0,0,141
5,1,0,0,98
5,4,1,1,20
5,1,0,0,103
5,2,8,2,43
5,4,8,8,71
5,1,0,0,11
5,3,8,2,156
5,3,2,8,150
5,1,4,0,78
5,2,1,8,32
5,3,8,2,88
5,2,8,8,122
5,2,1,8,44
5,4,1,8,143
5,3,1,8,40
5,4,1,8,128
5,2,1,1,79
5,4,1,8,45
5,1,0,0,1
5,2,8,2,131
5,1,0,0,123
5,3,8,2,72
5,4,1,1,176
5,1,0,0,104
5,3,3,2,89
5,2,1,8,174
5,3,1,1,13
5,2,1,8,59
5,3,1,2,16
5,1,0,4,62
5,4,1,8,154
5,4,8,8,165
5,3,2,7,90
5,4,1,1,117
5,3,7,8,53
5,1,0,0,60
5,2,8,1,145
5,3,2,1,57
5,3,1,1,23
5,2,1,1,188
5,1,0,0,191
5,1,4,0,170
5,1,4,4,172
5,2,1,1,186
5,4,8,1,135
5,2,8,8,15
5,4,8,8,74
5,4,8,8,58
5,1,0,0,96
5,4,8,1,144
5,1,0,0,151
5,1,0,0,97
5,2,8,8,153
5,4,1,1,33
5,2,1,8,8
5,3,7,1,18
5,3,2,1,39
5,3,1,2,162
5,4,1,8,140
5,2,1,1,73
5,2,1,1,68
5,3,8,1,159
5,1,0,4,81
5,4,1,0,157
6,4,8,1,6
6,3,1,8,161
6,1,0,0,118
6,4,1,8,86
6,3,1,7,100
6,3,1,1,124
6,4,1,0,29
6,2,1,1,179
6,2,1,2,107
6,2,1,1,177
6,4,8,1,3
6,2,1,1,64
6,1,0,0,115
6,3,1,8,163
6,1,0,0,184
6,1,0,0,181
6,4,1,8,112
6,3,2,1,183
6,3,2,1,28
6,3,1,7,185
6,2,1,1,102
6,2,1,1,129
6,1,0,0,19
6,1,0,0,189
6,4,1,1,85
6,4,1,8,25
6,1,0,0,125
6,2,1,1,166
6,2,1,0,110
6,1,0,0,111
6,4,8,0,37
6,3,8,1,137
6,1,0,0,52
6,4,8,1,61
6,2,1,1,69
6,1,0,0,31
6,4,2,1,121
6,3,1,1,192
6,3,8,1,133
6,4,1,8,147
6,1,0,0,26
6,1,0,0,47
6,2,1,1,66
6,2,1,0,95
6,3,1,1,167
6,3,2,8,126
6,2,1,1,30
6,4,1,1,146
6,1,0,0,187
6,2,1,1,141
6,2,1,1,119
6,1,0,0,56
6,2,0,1,155
6,4,1,1,34
6,1,0,0,99
6,3,8,2,50
6,3,1,8,139
6,3,8,1,80
6,3,1,8,14
6,4,1,1,76
6,4,1,1,113
6,1,0,0,2
6,4,1,1,4
6,2,8,1,7
6,3,2,1,122
6,4,1,1,156
6,4,1,1,88
6,3,1,1,32
6,4,1,8,40
6,1,0,0,20
6,1,0,1,143
6,2,1,1,98
6,1,1,0,128
6,1,0,0,71
6,2,1,1,103
6,4,8,8,150
6,2,1,1,11
6,2,1,8,78
6,3,1,1,43
6,3,7,1,44
6,1,0,0,154
6,3,8,1,174
6,2,1,1,62
6,3,1,1,79
6,2,1,1,123
6,3,1,8,59
6,4,1,1,13
6,1,0,0,165
6,3,1,8,131
6,2,1,1,1
6,1,0,0,45
6,4,8,1,72
6,4,8,1,89
6,2,1,1,104
6,1,0,0,176
6,4,8,0,16
6,3,1,8,15
6,3,2,1,145
6,4,8,1,90
6,1,0,0,117
6,1,0,0,74
6,4,1,1,53
6,1,0,0,58
6,4,0,1,23
6,2,1,1,172
6,2,1,1,170
6,3,1,8,186
6,4,2,1,57
6,2,1,1,60
6,1,0,0,135
6,3,8,1,188
6,2,8,1,191
6,3,1,0,68
6,3,1,1,153
6,1,0,0,33
6,1,0,0,140
6,2,0,1,81
6,1,0,0,144
6,4,1,1,18
6,1,0,0,157
6,4,1,1,39
6,4,1,1,159
6,2,1,2,97
6,3,1,1,8
6,2,1,8,96
6,4,1,1,162
6,3,1,8,73
6,2,0,1,151
7,2,1,7,29
7,3,3,3,118
7,2,1,8,6
7,1,0,0,163
7,4,8,8,64
7,3,3,1,115
7,3,3,1,181
7,4,1,8,177
7,1,4,0,100
7,1,0,0,161
7,2,8,8,3
7,4,8,1,179
7,4,1,8,107
7,2,1,1,86
7,1,0,0,124
7,3,3,3,184
7,3,2,7,111
7,3,6,2,125
7,3,3,8,189
7,1,0,0,28
7,1,0,4,137
7,4,1,1,129
7,2,8,8,37
7,2,8,1,25
7,4,1,8,110
7,1,0,4,183
7,1,0,0,185
7,2,1,1,85
7,2,8,1,112
7,4,8,1,102
7,3,1,3,19
7,4,8,2,166
7,2,8,7,61
7,4,8,8,30
7,4,1,1,69
7,2,8,7,121
7,2,2,2,147
7,1,0,4,167
7,3,1,2,26
7,4,1,2,66
7,2,7,2,146
7,4,1,3,95
7,1,0,0,126
7,1,0,4,192
7,1,0,0,133
7,3,1,8,31
7,3,8,2,47
7,3,2,7,52
7,3,6,2,56
7,4,2,8,155
7,4,2,1,119
7,3,2,2,2
7,3,3,2,99
7,2,1,2,76
7,1,3,0,14
7,3,3,3,187
7,2,2,3,113
7,1,3,0,139
7,1,0,0,80
7,2,2,7,34
7,2,1,6,4
7,1,0,0,50
7,4,2,7,7
7,4,3,1,141
7,3,7,1,128
7,4,1,2,11
7,3,7,3,71
7,3,3,6,143
7,3,6,6,20
7,1,6,0,32
7,4,6,7,78
7,2,2,2,150
7,1,0,4,44
7,1,3,0,122
7,4,8,8,103
7,4,8,1,98
7,2,2,3,156
7,2,4,6,40
7,1,0,4,43
7,2,6,2,88
7,4,3,1,62
7,3,2,8,165
7,1,7,4,131
7,4,8,8,123
7,4,1,1,1
7,3,1,2,154
7,2,8,3,89
7,1,0,0,174
7,1,0,0,59
7,3,7,3,176
7,3,6,2,45
7,4,1,8,104
7,2,1,2,13
7,1,4,0,79
7,2,1,8,72
7,2,1,7,16
7,3,3,2,117
7,3,3,2,74
7,3,0,3,135
7,2,1,7,90
7,2,3,2,57
7,4,3,2,191
7,2,3,2,23
7,4,1,3,172
7,2,3,2,53
7,1,0,4,145
7,4,8,1,170
7,1,4,4,188
7,4,7,8,60
7,1,4,0,15
7,3,7,7,58
7,1,0,0,186
7,4,8,7,81
7,4,1,1,97
7,3,2,1,33
7,1,0,4,68
7,1,0,4,153
7,3,8,0,144
7,4,7,1,96
7,2,7,2,159
7,3,7,8,157
7,4,3,2,151
7,1,0,4,8
7,3,6,2,140
7,2,1,1,39
7,2,2,2,162
7,2,2,2,18
7,1,0,1,73
8,1,0,4,115
8,3,8,3,124
8,4,1,8,3
8,1,0,3,181
8,1,0,0,118
8,4,1,1,29
8,2,1,3,64
8,2,1,8,179
8,1,4,4,184
8,2,1,1,107
8,2,8,1,177
8,3,2,3,100
8,4,8,1,6
8,3,7,3,163
8,3,7,6,161
8,4,1,1,86
8,1,0,0,19
8,4,8,1,37
8,2,8,1,166
8,4,1,1,85
8,3,8,6,28
8,2,8,1,102
8,1,4,4,189
8,4,8,1,25
8,3,2,3,185
8,2,1,1,129
8,1,0,4,111
8,4,8,1,112
8,3,7,3,137
8,3,7,6,183
8,1,0,4,125
8,2,1,1,110
8,3,2,6,192
8,2,8,1,69
8,1,0,0,52
8,1,4,0,31
8,4,1,1,121
8,4,2,1,61
8,3,7,7,133
8,3,3,7,167
8,2,1,1,30
8,3,3,3,126
8,1,0,0,47
8,4,1,1,146
8,2,1,8,95
8,2,1,1,66
8,1,0,0,26
8,4,8,1,147
8,2,1,8,155
8,2,8,1,119
8,1,4,0,2
8,4,8,8,76
8,4,1,8,34
8,1,4,0,56
8,4,6,8,113
8,2,1,1,141
8,4,1,1,4
8,1,0,0,187
8,3,2,3,80
8,3,1,3,14
8,2,1,1,7
8,1,0,0,99
8,3,3,6,139
8,3,1,3,50
8,4,1,2,156
8,1,0,0,143
8,3,7,3,43
8,2,8,2,78
8,1,0,4,20
8,2,8,1,11
8,3,8,3,122
8,1,0,0,71
8,2,1,7,98
8,4,2,8,88
8,3,3,7,32
8,3,3,3,44
8,4,1,1,40
8,1,4,4,128
8,4,1,1,150
8,2,3,2,103
8,3,1,3,174
8,3,3,6,131
8,1,0,0,45
8,1,4,0,154
8,4,1,1,89
8,2,1,1,1
8,1,0,0,176
8,3,3,3,79
8,3,6,3,59
8,2,8,1,62
8,1,0,0,165
8,4,7,1,72
8,4,1,1,16
8,2,1,2,123
8,4,1,8,13
8,2,3,1,104
8,2,1,1,60
8,1,0,0,74
8,1,4,0,135
8,3,6,3,145
8,2,1,1,170
8,4,1,1,23
8,2,1,1,191
8,1,0,0,117
8,4,8,1,57
8,3,3,3,186
8,1,4,0,58
8,2,8,1,172
8,3,3,3,15
8,4,8,1,90
8,3,3,3,188
8,4,1,1,53
8,3,3,3,153
8,2,1,8,81
8,1,0,0,144
8,1,4,0,140
8,3,3,3,8
8,4,1,1,39
8,4,8,8,159
8,1,4,0,33
8,2,1,1,97
8,3,3,3,73
8,2,1,1,151
8,4,1,1,162
8,1,4,4,157
8,4,1,8,18
8,3,3,3,68
8,2,1,3,96
9,2,0,0,184
9,4,0,0,163
9,2,0,8,115
9,1,0,0,3
9,2,0,0,118
9,1,0,0,29
9,3,0,0,64
9,4,1,0,161
9,3,0,0,107
9,3,0,0,177
9,1,0,0,86
9,4,8,0,124
9,3,0,0,179
9,2,0,0,181
9,1,0,0,6
9,4,0,0,100
9,1,0,0,37
9,2,0,0,125
9,4,0,0,137
9,2,1,0,189
9,2,0,0,19
9,4,0,0,183
9,4,0,0,28
9,3,0,0,129
9,3,0,0,166
9,4,0,0,185
9,2,0,0,111
9,1,0,0,112
9,1,0,0,85
9,3,0,0,110
9,3,0,0,102
9,1,0,0,25
9,4,0,0,133
9,3,0,0,69
9,3,0,0,66
9,4,0,0,192
9,4,0,0,167
9,2,0,0,52
9,3,0,0,30
9,2,0,0,31
9,4,0,0,126
9,1,0,0,146
9,1,0,0,147
9,1,0,0,61
9,1,0,0,121
9,2,0,0,26
9,3,0,0,95
9,2,0,0,47
9,3,0,0,7
9,4,0,0,50
9,4,0,0,14
9,2,0,0,99
9,3,0,0,119
9,2,0,0,2
9,1,0,0,76
9,2,0,0,187
9,3,2,0,141
9,2,2,0,56
9,1,0,0,113
9,1,0,0,4
9,4,0,0,139
9,3,0,0,155
9,4,0,0,80
9,1,0,0,34
9,3,0,0,78
9,4,0,0,43
9,1,0,0,40
9,2,0,0,143
9,3,0,0,11
9,2,0,0,128
9,1,0,0,88
9,3,0,0,98
9,4,0,0,32
9,4,0,0,122
9,2,0,0,71
9,2,0,0,20
9,1,0,0,156
9,1,0,0,150
9,4,0,0,44
9,3,0,0,103
9,3,0,0,1
9,3,0,0,62
9,4,0,0,59
9,1,0,0,13
9,4,0,0,131
9,1,0,0,16
9,1,0,0,72
9,3,0,0,123
9,4,0,0,174
9,1,0,0,89
9,4,0,0,79
9,2,0,0,176
9,2,0,0,45
9,2,0,0,165
9,3,0,0,104
9,2,0,0,154
9,2,0,0,58
9,4,0,0,186
9,3,0,0,191
9,1,0,0,23
9,2,0,0,117
9,1,0,0,90
9,3,0,0,60
9,4,0,0,188
9,1,0,0,53
9,4,0,0,145
9,2,0,0,74
9,2,0,0,135
9,3,0,0,170
9,1,0,0,57
9,3,0,0,172
9,4,0,0,15
9,2,0,0,157
9,1,0,0,39
9,3,0,0,151
9,4,0,0,153
9,3,0,0,81
9,2,0,0,33
9,2,0,0,140
9,1,0,0,162
9,2,0,0,144
9,1,0,0,159
9,3,0,0,96
9,4,0,0,73
9,4,0,0,8
9,1,0,0,18
9,4,0,1,68
9,3,0,0,97
10,2,8,8,29
10,4,8,1,177
10,1,4,0,163
10,4,8,8,107
10,2,8,1,6
10,4,8,1,179
10,2,8,8,86
10,3,8,8,118
10,1,0,0,124
10,3,7,8,115
10,1,0,0,100
10,4,8,1,64
10,1,0,4,161
10,3,7,1,181
10,3,0,1,184
10,2,8,1,3
10,3,8,1,189
10,2,8,1,85
10,2,8,8,112
10,1,0,0,185
10,4,1,1,102
10,1,0,4,28
10,2,1,4,25
10,2,8,4,37
10,3,1,1,125
10,3,8,8,111
10,4,1,4,166
10,3,1,8,19
10,1,0,0,183
10,4,1,1,110
10,1,0,0,137
10,4,8,8,129
10,3,1,1,26
10,3,8,1,52
10,2,1,1,61
10,1,0,0,192
10,4,1,1,30
10,2,1,1,146
10,1,0,0,167
10,4,1,1,69
10,3,1,1,47
10,1,4,0,126
10,4,1,1,95
10,4,1,8,66
10,2,1,1,147
10,2,8,1,121
10,3,8,1,31
10,1,0,0,133
10,1,0,0,80
10,3,1,1,56
10,2,1,1,4
10,4,1,1,119
10,2,1,1,34
10,3,1,8,99
10,4,1,1,7
10,1,0,0,139
10,1,0,0,14
10,2,1,1,113
10,4,1,1,141
10,1,0,0,50
10,3,1,1,2
10,4,8,1,155
10,2,1,8,76
10,3,8,1,187
10,1,0,0,43
10,4,1,1,103
10,4,1,8,98
10,3,1,1,71
10,2,1,1,88
10,4,8,1,78
10,1,0,0,122
10,3,1,1,128
10,2,1,8,156
10,1,4,4,44
10,1,0,0,32
10,2,1,4,150
10,3,8,1,143
10,4,1,8,11
10,2,8,8,40
10,3,1,1,20
10,2,1,8,72
10,2,1,1,16
10,1,4,0,79
10,3,8,1,154
10,1,0,0,131
10,3,8,2,165
10,4,8,8,1
10,4,1,1,62
10,1,0,4,174
10,2,8,1,13
10,1,0,0,59
10,4,1,1,104
10,3,8,1,45
10,4,8,1,123
10,3,1,1,176
10,2,1,1,89
10,4,8,1,191
10,2,8,8,53
10,1,4,0,186
10,1,0,4,145
10,3,1,1,58
10,3,1,1,135
10,2,1,8,57
10,4,1,8,172
10,4,1,1,170
10,2,8,1,23
10,2,8,1,90
10,3,1,8,117
10,4,8,1,60
10,3,8,1,74
10,1,4,1,188
10,1,0,0,15
10,1,0,0,153
10,3,1,8,33
10,4,1,1,81
10,3,1,1,140
10,2,8,8,39
10,4,4,1,97
10,2,1,1,18
10,1,0,0,68
10,1,0,0,73
10,3,4,8,157
10,2,1,8,159
10,2,1,8,162
10,3,8,8,144
10,4,1,1,96
10,4,8,1,151
10,1,0,1,8
11,1,0,0,177
11,3,4,1,6
11,2,1,7,161
11,1,0,4,64
11,1,4,0,107
11,2,1,8,163
11,3,3,3,29
11,2,1,2,100
11,4,1,8,118
11,3,6,2,86
11,4,1,8,115
11,4,1,1,181
11,3,3,3,3
11,1,4,0,179
11,2,1,3,124
11,4,1,0,184
11,3,3,3,25
11,2,1,1,137
11,3,3,3,85
11,2,1,1,183
11,4,8,1,189
11,1,4,4,166
11,1,0,0,129
11,3,2,1,112
11,2,1,8,28
11,1,0,0,102
11,3,1,3,37
11,4,1,1,125
11,4,1,1,19
11,2,1,8,185
11,1,0,0,110
11,4,8,1,111
11,1,0,0,95
11,4,8,1,52
11,1,0,0,69
11,3,3,3,121
11,1,0,4,66
11,2,1,3,167
11,4,1,8,26
11,3,3,6,146
11,3,3,3,61
11,1,4,0,30
11,3,3,3,147
11,4,8,2,31
11,2,1,1,133
11,2,8,1,192
11,2,1,1,126
11,4,7,1,47
11,3,3,3,34
11,3,6,1,4
11,2,1,1,50
11,4,1,1,2
11,2,1,8,14
11,2,1,1,139
11,2,1,1,80
11,3,1,2,113
11,1,0,0,155
11,1,0,0,141
11,4,1,1,99
11,3,3,1,76
11,4,1,1,187
11,1,0,0,119
11,1,0,0,7
11,4,1,1,56
11,3,3,3,88
11,4,1,1,20
11,3,1,4,40
11,2,1,8,44
11,1,0,0,78
11,4,8,2,71
11,2,1,1,32
11,3,3,1,150
11,2,2,8,43
11,1,0,4,103
11,1,4,0,98
11,4,1,8,128
11,3,4,3,156
11,1,0,0,11
11,2,8,8,122
11,4,1,8,143
11,2,1,2,174
11,2,1,8,59
11,1,0,4,123
11,3,7,1,72
11,3,2,7,16
11,2,1,1,131
11,4,8,1,176
11,3,6,1,89
11,4,1,8,154
11,1,0,0,104
11,4,8,8,45
11,2,8,8,79
11,3,4,4,13
11,1,4,0,1
11,1,4,0,62
11,4,1,1,165
11,2,1,1,188
11,2,8,8,145
11,2,1,1,186
11,1,4,0,170
11,3,6,3,57
11,4,1,8,135
11,4,2,8,117
11,3,7,3,90
11,1,0,4,191
11,4,1,3,58
11,1,0,4,172
11,3,2,3,53
11,2,1,3,15
11,3,6,8,23
11,4,7,1,74
11,1,0,0,60
11,3,3,1,159
11,3,3,8,39
11,3,3,3,18
